INDEX,Gender,Brand,Fragrance,Top,Heart,Base,Description,Longevity,Seasonal Use,Occasion,Projection/Sillage,Price,Rating,Overview
550,Men,Yves Saint Laurent,L'Homme Ultime,"Grapefruit, Ginger","Sage, Rose","Cedarwood, Vetiver","A fresh and woody fragrance with a mix of citrus and herbal notes, perfect for the modern and confident man.",Long-lasting,All Seasons,Casual (All),Moderate,Expensive,4.4,"Men,Yves Saint Laurent,L'Homme Ultime,Grapefruit, Ginger,Sage, Rose,Cedarwood, Vetiver,A fresh and woody fragrance with a mix of citrus and herbal notes, perfect for the modern and confident man.,Long-lasting,All Seasons,Casual (All),Moderate,Expensive,4.4"
551,Women,Givenchy,L'Interdit,"Orange Blossom, Jasmine, Tuberose","Vetiver, Patchouli, Vetiver","Musk, Vanilla, Ambroxan","L'Interdit is a modern and daring fragrance that is perfect for a strong and confident woman. It is elegant and sophisticated, with a touch of sensuality that makes it perfect for evening wear.",Long-lasting,All Seasons,Formal (Evening),Moderate,Exorbitant,4.6,"Women,Givenchy,L'Interdit,Orange Blossom, Jasmine, Tuberose,Vetiver, Patchouli, Vetiver,Musk, Vanilla, Ambroxan,L'Interdit is a modern and daring fragrance that is perfect for a strong and confident woman. It is elegant and sophisticated, with a touch of sensuality that makes it perfect for evening wear.,Long-lasting,All Seasons,Formal (Evening),Moderate,Exorbitant,4.6"
552,Women,Diptyque,L'Ombre dans L'Eau,"Blackcurrant, Rose",Green Notes,"Musk, Amber",A green and floral fragrance with a musky base. Suitable for daytime wear in spring and summer.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4,"Women,Diptyque,L'Ombre dans L'Eau,Blackcurrant, Rose,Green Notes,Musk, Amber,A green and floral fragrance with a musky base. Suitable for daytime wear in spring and summer.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.4"
553,Unisex,Diptyque,L'Ombre dans l'Eau,"Blackcurrant Leaf, Bulgarian Rose","Petitgrain, Blackcurrant, Plum","Musk, Blackcurrant Buds","A fresh and green unisex fragrance featuring the aroma of blackcurrant leaves and buds, complemented by a fruity and floral heart.",Long-lasting,Spring & Summer,Casual (Daytime),Strong,Exorbitant,4.2,"Unisex,Diptyque,L'Ombre dans l'Eau,Blackcurrant Leaf, Bulgarian Rose,Petitgrain, Blackcurrant, Plum,Musk, Blackcurrant Buds,A fresh and green unisex fragrance featuring the aroma of blackcurrant leaves and buds, complemented by a fruity and floral heart.,Long-lasting,Spring & Summer,Casual (Daytime),Strong,Exorbitant,4.2"
554,Unisex,Diptyque,L'Ombre dans L'Eau,"Blackcurrant, Bulgarian Rose",Green Notes,"Amber, Musk",L'Ombre dans L'Eau is a floral fragrance that features blackcurrant and Bulgarian rose as its main accords. It's a fresh and clean scent that is perfect for both men and women.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.1,"Unisex,Diptyque,L'Ombre dans L'Eau,Blackcurrant, Bulgarian Rose,Green Notes,Amber, Musk,L'Ombre dans L'Eau is a floral fragrance that features blackcurrant and Bulgarian rose as its main accords. It's a fresh and clean scent that is perfect for both men and women.,Moderate to long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.1"
555,Women,Arquiste,La Dame aux Camelias,"Italian Bergamot, Aldehydes, Pear, Mimosa","Turkish Rose, Egyptian Jasmine, Camellia Oil","Amber, Suede, White Musk, Tonka Bean","Inspired by the heroine of Alexandre Dumas’ novel and her famous love affair with the Duke of Orleans. It is a floral oriental fragrance, with a modern take on the classic accord of rose and musk.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3,"Women,Arquiste,La Dame aux Camelias,Italian Bergamot, Aldehydes, Pear, Mimosa,Turkish Rose, Egyptian Jasmine, Camellia Oil,Amber, Suede, White Musk, Tonka Bean,Inspired by the heroine of Alexandre Dumas’ novel and her famous love affair with the Duke of Orleans. It is a floral oriental fragrance, with a modern take on the classic accord of rose and musk.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.3"
556,Unisex,Nobile 1942,La Danza delle Libellule,"Bergamot, blackcurrant, lily-of-the-valley","Cyclamen, jasmine, rose","Vanilla, musk, sandalwood",A floral and powdery fragrance inspired by the dance of the dragonfly,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Unisex,Nobile 1942,La Danza delle Libellule,Bergamot, blackcurrant, lily-of-the-valley,Cyclamen, jasmine, rose,Vanilla, musk, sandalwood,A floral and powdery fragrance inspired by the dance of the dragonfly,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
557,Women,Prada,La Femme,"Frangipani, ylang-ylang, beeswax","Vanilla, tuberose, iris","Vetiver, patchouli, leather","A warm and sensual scent with floral and powdery undertones, perfect for an elegant and confident woman.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.2,"Women,Prada,La Femme,Frangipani, ylang-ylang, beeswax,Vanilla, tuberose, iris,Vetiver, patchouli, leather,A warm and sensual scent with floral and powdery undertones, perfect for an elegant and confident woman.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.2"
558,Women,Serge Lutens,La Fille de Berlin,"Rose, Geranium, Hawthorn","Honey, Violet, Iris","Musk, Vanilla",La Fille de Berlin is a floral fragrance with a sweet and spicy scent. It's perfect for those who enjoy classic and feminine fragrances.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2,"Women,Serge Lutens,La Fille de Berlin,Rose, Geranium, Hawthorn,Honey, Violet, Iris,Musk, Vanilla,La Fille de Berlin is a floral fragrance with a sweet and spicy scent. It's perfect for those who enjoy classic and feminine fragrances.,Moderate,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.2"
559,Women,Juicy Couture,La La Malibu,"Green apple, Red currant, Mandarin","Lily of the valley, Orange blossom, Frangipani","Musk, Woods, Vanilla","A fresh and fruity fragrance with floral notes, perfect for a casual day out.",Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.1,"Women,Juicy Couture,La La Malibu,Green apple, Red currant, Mandarin,Lily of the valley, Orange blossom, Frangipani,Musk, Woods, Vanilla,A fresh and fruity fragrance with floral notes, perfect for a casual day out.,Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.1"
560,Men,Yves Saint Laurent,La Nuit de L'Homme,"Cardamom, Bergamot","Lavender, Cedarwood","Caraway, Vetiver","A spicy and woody fragrance with a mix of warm and fresh notes, perfect for the elegant and seductive man.",Long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.6,"Men,Yves Saint Laurent,La Nuit de L'Homme,Cardamom, Bergamot,Lavender, Cedarwood,Caraway, Vetiver,A spicy and woody fragrance with a mix of warm and fresh notes, perfect for the elegant and seductive man.,Long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.6"
561,Women,Lancome,La Vie Est Belle,"Iris, Patchouli, Pear","Jasmine, Orange Blossom","Vanilla, Tonka Bean, Praline",A sweet and elegant fragrance with a hint of gourmand,Long-lasting,Fall & Winter,Casual (Evening),Heavy,Exorbitant,4.7,"Women,Lancome,La Vie Est Belle,Iris, Patchouli, Pear,Jasmine, Orange Blossom,Vanilla, Tonka Bean, Praline,A sweet and elegant fragrance with a hint of gourmand,Long-lasting,Fall & Winter,Casual (Evening),Heavy,Exorbitant,4.7"
562,Women,Serge Lutens,La Vierge de Fer,"Aldehydes, lemon, spices","Floral notes, rose, ylang-ylang, carnation","Musk, amber, vanilla, woodsy notes","A powdery, floral fragrance with a touch of spice",Moderate to long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.1,"Women,Serge Lutens,La Vierge de Fer,Aldehydes, lemon, spices,Floral notes, rose, ylang-ylang, carnation,Musk, amber, vanilla, woodsy notes,A powdery, floral fragrance with a touch of spice,Moderate to long-lasting,Fall & Winter,Formal (All),Moderate,Exorbitant,4.1"
563,Unisex,Juliette Has A Gun,Lady Vengeance,"Bulgarian Rose, Patchouli, Vanilla","Bergamot, Lavender, Lily of the Valley","Musk, Amber, Iso E Super",A sultry and provocative fragrance with a floral and powdery profile.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1,"Unisex,Juliette Has A Gun,Lady Vengeance,Bulgarian Rose, Patchouli, Vanilla,Bergamot, Lavender, Lily of the Valley,Musk, Amber, Iso E Super,A sultry and provocative fragrance with a floral and powdery profile.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Exorbitant,4.1"
564,Men,Jean Paul Gaultier,Le Male,"Mint, Lavender, Bergamot, Cardamom, Artemisia","Cinnamon, Caraway, Orange Blossom","Vanilla, Tonka Bean, Sandalwood","A fresh, spicy fragrance with a hint of sweetness",Moderate to long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.7,"Men,Jean Paul Gaultier,Le Male,Mint, Lavender, Bergamot, Cardamom, Artemisia,Cinnamon, Caraway, Orange Blossom,Vanilla, Tonka Bean, Sandalwood,A fresh, spicy fragrance with a hint of sweetness,Moderate to long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.7"
565,Women,L'Orchestre Parfum,Le Sixième,"Bergamot, Lemon, Lavender","Blackcurrant, Nutmeg, Ylang-Ylang","Vetiver, Cedarwood, Musk",A fresh and spicy fragrance that is perfect for any occasion.,Moderate to long-lasting,Spring & Summer,Casual (All),Moderate,Exorbitant,4.4,"Women,L'Orchestre Parfum,Le Sixième,Bergamot, Lemon, Lavender,Blackcurrant, Nutmeg, Ylang-Ylang,Vetiver, Cedarwood, Musk,A fresh and spicy fragrance that is perfect for any occasion.,Moderate to long-lasting,Spring & Summer,Casual (All),Moderate,Exorbitant,4.4"
566,Women,Coach,Legacy,"Black Currant, Bergamot, Mandarin","Jasmine, Gardenia, Magnolia","Vetiver, Vanilla, Amber",A sophisticated and elegant fragrance with a blend of fruity and floral notes,Moderate to long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6,"Women,Coach,Legacy,Black Currant, Bergamot, Mandarin,Jasmine, Gardenia, Magnolia,Vetiver, Vanilla, Amber,A sophisticated and elegant fragrance with a blend of fruity and floral notes,Moderate to long-lasting,Fall & Winter,Formal (Evening),Moderate,Exorbitant,4.6"
567,Men,Krigler,Legend,"Bergamot, Orange Blossom, Lemon","Jasmine, Tuberose, Rose","Sandalwood, Musk, Patchouli","A timeless, classic fragrance with fresh and floral notes, created in 1904 for Russian royalty.",Long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.5,"Men,Krigler,Legend,Bergamot, Orange Blossom, Lemon,Jasmine, Tuberose, Rose,Sandalwood, Musk, Patchouli,A timeless, classic fragrance with fresh and floral notes, created in 1904 for Russian royalty.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.5"
568,Men,Montblanc,Legend,"Bergamot, Lavender, Pineapple leaf","Geranium, Coumarin, Apple, Rose","Sandalwood, Tonka, Evernyl",A fresh and clean scent with a woody base that is suitable for everyday wear.,Moderate,Fall & Winter,Casual (Daytime),Moderate,Expensive,4.6,"Men,Montblanc,Legend,Bergamot, Lavender, Pineapple leaf,Geranium, Coumarin, Apple, Rose,Sandalwood, Tonka, Evernyl,A fresh and clean scent with a woody base that is suitable for everyday wear.,Moderate,Fall & Winter,Casual (Daytime),Moderate,Expensive,4.6"
569,Men,Montblanc,Legend Night,"Bergamot, Cardamom, Peppermint","Sage, Vetiver, Lavender, Cedarwood","Vanilla, Patchouli, Musk",A warm and spicy scent with a fresh top note that is perfect for an evening out.,Moderate,Fall & Winter,Formal (Evening),Moderate,Expensive,4.3,"Men,Montblanc,Legend Night,Bergamot, Cardamom, Peppermint,Sage, Vetiver, Lavender, Cedarwood,Vanilla, Patchouli, Musk,A warm and spicy scent with a fresh top note that is perfect for an evening out.,Moderate,Fall & Winter,Formal (Evening),Moderate,Expensive,4.3"
570,Men,Montblanc,Legend Spirit,"Grapefruit, Pink Pepper, Bergamot","Lavender, Cardamom, Aquatic Notes","White Woods, Oak Moss, Cashmere Wood",A refreshing and invigorating scent with a woody base that is perfect for the warmer months.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.2,"Men,Montblanc,Legend Spirit,Grapefruit, Pink Pepper, Bergamot,Lavender, Cardamom, Aquatic Notes,White Woods, Oak Moss, Cashmere Wood,A refreshing and invigorating scent with a woody base that is perfect for the warmer months.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.2"
571,Women,Chanel,Les Exclusifs de Chanel - 1932,"Bergamot, Neroli, Aldehydes","Jasmine, Rose, Ylang-Ylang","Vetiver, Musk, Vanilla","A floral, woody fragrance with a",Long-lasting,All Seasons,Formal (Evening),Moderate,Exorbitant,4.2,"Women,Chanel,Les Exclusifs de Chanel - 1932,Bergamot, Neroli, Aldehydes,Jasmine, Rose, Ylang-Ylang,Vetiver, Musk, Vanilla,A floral, woody fragrance with a,Long-lasting,All Seasons,Formal (Evening),Moderate,Exorbitant,4.2"
572,Women,Prada,Les Infusions de Prada Fleur d'Oranger,"Neroli, mandarin, bitter orange","Orange blossom, tuberose, jasmine","Musk, tuberose, benzoin","A fresh and floral scent with a hint of citrus, perfect for a woman who loves the sunshine.",Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.5,"Women,Prada,Les Infusions de Prada Fleur d'Oranger,Neroli, mandarin, bitter orange,Orange blossom, tuberose, jasmine,Musk, tuberose, benzoin,A fresh and floral scent with a hint of citrus, perfect for a woman who loves the sunshine.,Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.5"
573,Women,Prada,Les Infusions de Prada Iris Cedre,"Iris, galbanum, lentisk","Cedar, vetiver, benzoin","Incense, frankincense, myrrh","A fresh and earthy scent with floral and woody undertones, perfect for a woman who loves to be in nature.",Moderate,Fall & Winter,Formal (Daytime),Moderate,Exorbitant,4.5,"Women,Prada,Les Infusions de Prada Iris Cedre,Iris, galbanum, lentisk,Cedar, vetiver, benzoin,Incense, frankincense, myrrh,A fresh and earthy scent with floral and woody undertones, perfect for a woman who loves to be in nature.,Moderate,Fall & Winter,Formal (Daytime),Moderate,Exorbitant,4.5"
574,Women,Prada,Les Infusions de Prada Mimosa,"Mandarin, anise, rose","Mimosa, heliotrope, ylang-ylang","Musk, sandalwood, vanilla","A delicate and feminine fragrance with floral and powdery notes, perfect for a romantic and gentle woman.",Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.4,"Women,Prada,Les Infusions de Prada Mimosa,Mandarin, anise, rose,Mimosa, heliotrope, ylang-ylang,Musk, sandalwood, vanilla,A delicate and feminine fragrance with floral and powdery notes, perfect for a romantic and gentle woman.,Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.4"
575,Women,Prada,Les Infusions de Prada Rose,"Mandarin, neroli, rose","Turkish rose, Bulgarian rose, peony","Musk, patchouli, cedarwood","A delicate and feminine fragrance with floral and powdery notes, perfect for a romantic and gentle woman.",Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.3,"Women,Prada,Les Infusions de Prada Rose,Mandarin, neroli, rose,Turkish rose, Bulgarian rose, peony,Musk, patchouli, cedarwood,A delicate and feminine fragrance with floral and powdery notes, perfect for a romantic and gentle woman.,Moderate,Spring & Summer,Formal (Daytime),Moderate,Exorbitant,4.3"
576,Women,Yves Saint Laurent,Libre,"Lavender, Mandarin, Blackcurrant","Orange Blossom, Jasmine, Ylang-Ylang","Vanilla, Cedarwood, Ambergris","A fresh and feminine scent that is both floral and warm, perfect for everyday wear.",Long-lasting,Fall & Winter,Formal (Evening),Strong,Expensive,4.7,"Women,Yves Saint Laurent,Libre,Lavender, Mandarin, Blackcurrant,Orange Blossom, Jasmine, Ylang-Ylang,Vanilla, Cedarwood, Ambergris,A fresh and feminine scent that is both floral and warm, perfect for everyday wear.,Long-lasting,Fall & Winter,Formal (Evening),Strong,Expensive,4.7"
577,Women,Dolcé & Gabbána,Light Blue,"Sicilian Lemon, Apple, Bellflower","Jasmine, Bamboo, White Rose","Cedarwood, Amber, Musk","A fresh floral and fruity fragrance inspired by the Mediterranean, perfect for daytime wear",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.7,"Women,Dolcé & Gabbána,Light Blue,Sicilian Lemon, Apple, Bellflower,Jasmine, Bamboo, White Rose,Cedarwood, Amber, Musk,A fresh floral and fruity fragrance inspired by the Mediterranean, perfect for daytime wear,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.7"
578,Women,Dolcé & Gabbána,Light Blue Eau Intense,"Lemon, Granny Smith Apple","Marigold, Jasmine, Sambac","Amber Woods, Cedarwood, Musk","A fresh and intense version of the classic Light Blue fragrance, perfect for summer days",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3,"Women,Dolcé & Gabbána,Light Blue Eau Intense,Lemon, Granny Smith Apple,Marigold, Jasmine, Sambac,Amber Woods, Cedarwood, Musk,A fresh and intense version of the classic Light Blue fragrance, perfect for summer days,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3"
579,Men,Dolcé & Gabbána,Light Blue Pour Homme,"Sicilian mandarin, frozen grapefruit peel, juniper","Rosemary, Sichuan pepper, rosewood","Musk wood, incense, oak moss","A refreshing and masculine scent inspired by the Mediterranean, perfect for everyday wear in the summer months.",Long-lasting,Spring & Summer,All,Moderate,Expensive,4.6,"Men,Dolcé & Gabbána,Light Blue Pour Homme,Sicilian mandarin, frozen grapefruit peel, juniper,Rosemary, Sichuan pepper, rosewood,Musk wood, incense, oak moss,A refreshing and masculine scent inspired by the Mediterranean, perfect for everyday wear in the summer months.,Long-lasting,Spring & Summer,All,Moderate,Expensive,4.6"
580,Women,Jo Malone,Lime Basil & Mandarin,"Lime, Mandarin, Bergamot","Basil, Lilac, Thyme","Patchouli, Vetiver",Fresh and citrusy scent with a hint of earthy notes.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5,"Women,Jo Malone,Lime Basil & Mandarin,Lime, Mandarin, Bergamot,Basil, Lilac, Thyme,Patchouli, Vetiver,Fresh and citrusy scent with a hint of earthy notes.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.5"
581,Unisex,Jo Malone,Lime Basil & Mandarin,"Lime, Mandarin, Bergamot","Basil, Thyme, Iris","Vetiver, Patchouli, Amber",A fresh and zesty fragrance with a herbal and aromatic twist,Moderate to long-lasting,Spring & Summer,Casual (All),Moderate projection,Exorbitant,4.5,"Unisex,Jo Malone,Lime Basil & Mandarin,Lime, Mandarin, Bergamot,Basil, Thyme, Iris,Vetiver, Patchouli, Amber,A fresh and zesty fragrance with a herbal and aromatic twist,Moderate to long-lasting,Spring & Summer,Casual (All),Moderate projection,Exorbitant,4.5"
582,Women,Frederic Malle,Lipstick Rose,"Grapefruit, Violet, Rose, Iris","Musk, Vanilla, Vetiver",Raspberry,"A sweet and floral fragrance with a powdery, lipstick-like scent. Suitable for daytime wear in spring and summer.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.2,"Women,Frederic Malle,Lipstick Rose,Grapefruit, Violet, Rose, Iris,Musk, Vanilla, Vetiver,Raspberry,A sweet and floral fragrance with a powdery, lipstick-like scent. Suitable for daytime wear in spring and summer.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.2"
583,Unisex,Memoize London,Liquid Illusion,"Bergamot, orange, petitgrain","Jasmine, lily-of-the-valley, rose","Patchouli, sandalwood, musk",A fresh and floral fragrance that evokes the feeling of a sun-drenched Mediterranean holiday,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Unisex,Memoize London,Liquid Illusion,Bergamot, orange, petitgrain,Jasmine, lily-of-the-valley, rose,Patchouli, sandalwood, musk,A fresh and floral fragrance that evokes the feeling of a sun-drenched Mediterranean holiday,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
584,Women,Oscar de la Renta,Live in Love,"Ginger Orchid, Hyacinth, Galbanum, Bergamot","Jasmine Sambac, Rose, White Flowers","Musk, Amber, Cedar, Vanilla","A fresh floral fragrance with a hint of oriental flair, perfect for everyday wear.",Moderate,All Seasons,Casual (Daytime),Moderate,Affordable,4.2,"Women,Oscar de la Renta,Live in Love,Ginger Orchid, Hyacinth, Galbanum, Bergamot,Jasmine Sambac, Rose, White Flowers,Musk, Amber, Cedar, Vanilla,A fresh floral fragrance with a hint of oriental flair, perfect for everyday wear.,Moderate,All Seasons,Casual (Daytime),Moderate,Affordable,4.2"
585,Women,Givenchy,Live Irrésistible,"Pineapple, rose petals, grapefruit zest","Red rose, pimento berries, passionfruit","Amber, musk, orris root","Live Irrésistible is a fruity and floral fragrance that opens with bright notes of pineapple and grapefruit zest, followed by the soft and romantic aroma of rose petals. The heart notes of pimento berries and passionfruit add a spicy and exotic twist, while the base notes of amber, musk, and orris root give the fragrance a warm and sensual finish.",Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6,"Women,Givenchy,Live Irrésistible,Pineapple, rose petals, grapefruit zest,Red rose, pimento berries, passionfruit,Amber, musk, orris root,Live Irrésistible is a fruity and floral fragrance that opens with bright notes of pineapple and grapefruit zest, followed by the soft and romantic aroma of rose petals. The heart notes of pimento berries and passionfruit add a spicy and exotic twist, while the base notes of amber, musk, and orris root give the fragrance a warm and sensual finish.,Long-lasting,Spring & Summer,Casual (Daytime),Moderate,Exorbitant,4.6"
586,Women,Jennifer Lopez,Live Luxe,"Pear, Peach, Melon","Freesia, Honeysuckle, Lily-of-the-Valley","Amber, Musk, Vanilla",A fruity and floral scent that's playful and flirty. Inspired by J.Lo's love of dance and music.,Long-lasting,All Seasons,Casual (Daytime),Strong,Expensive,4.2,"Women,Jennifer Lopez,Live Luxe,Pear, Peach, Melon,Freesia, Honeysuckle, Lily-of-the-Valley,Amber, Musk, Vanilla,A fruity and floral scent that's playful and flirty. Inspired by J.Lo's love of dance and music.,Long-lasting,All Seasons,Casual (Daytime),Strong,Expensive,4.2"
587,Women,Marc Jacobs,Lola,"Pink peppercorn, Pear, Ruby red grapefruit","Peony, Rose, Geranium","Vanilla, Tonka bean, Musk","A warm and spicy scent, Lola features a playful and romantic combination of floral and fruity notes that's perfect for a night out.",Moderate,Fall & Winter,Casual (Daytime),Moderate,Exorbitant,4.5,"Women,Marc Jacobs,Lola,Pink peppercorn, Pear, Ruby red grapefruit,Peony, Rose, Geranium,Vanilla, Tonka bean, Musk,A warm and spicy scent, Lola features a playful and romantic combination of floral and fruity notes that's perfect for a night out.,Moderate,Fall & Winter,Casual (Daytime),Moderate,Exorbitant,4.5"
588,Women,Marc Jacobs,Lola,"Pink Peppercorn, Pear, Grapefruit","Peony, Rose, Geranium","Vanilla, Tonka Bean, Musk",A romantic and feminine fragrance with a seductive edge.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3,"Women,Marc Jacobs,Lola,Pink Peppercorn, Pear, Grapefruit,Peony, Rose, Geranium,Vanilla, Tonka Bean, Musk,A romantic and feminine fragrance with a seductive edge.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.3"
589,Women,Burberry,London,"Bergamot, Lavender","Cinnamon, Mimosa","Leather, Patchouli",London by Burberry is a warm and sensual fragrance that blends spicy and floral notes with a woody base. It is perfect for the colder months.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.6,"Women,Burberry,London,Bergamot, Lavender,Cinnamon, Mimosa,Leather, Patchouli,London by Burberry is a warm and sensual fragrance that blends spicy and floral notes with a woody base. It is perfect for the colder months.,Long-lasting,Fall & Winter,Formal (Evening),Heavy,Expensive,4.6"
590,Men,Penhaligon's,Lothair,"Bergamot, Grapefruit, Fig Leaf, Lavender","Tea, Rose, Jasmine, Violet","Cedarwood, Amber, Musk, Vanilla","Inspired by the British coastline, this scent is fresh and invigorating. It blends citrus and herbal notes with a soft and warm base for a sophisticated and modern fragrance.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.2,"Men,Penhaligon's,Lothair,Bergamot, Grapefruit, Fig Leaf, Lavender,Tea, Rose, Jasmine, Violet,Cedarwood, Amber, Musk, Vanilla,Inspired by the British coastline, this scent is fresh and invigorating. It blends citrus and herbal notes with a soft and warm base for a sophisticated and modern fragrance.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.2"
591,Women,Coach,Love,"Mandarin, Dewberry, Green Violet","Freesia, Magnolia, Jasmine","Caramel, Vanilla, Patchouli",A sweet and floral fragrance with a warm and comforting base,Moderate,All Seasons,All,Moderate,Expensive,4.7,"Women,Coach,Love,Mandarin, Dewberry, Green Violet,Freesia, Magnolia, Jasmine,Caramel, Vanilla, Patchouli,A sweet and floral fragrance with a warm and comforting base,Moderate,All Seasons,All,Moderate,Expensive,4.7"
592,Women,Victoria's Secret,Love,"Fresh Juniper, Apricot blush, Boyfriend Tee Accord","Tulip, Angel Flower, Black Lace Accord","Cashgora wood, Creamy musk, Gilded amber","A warm and sensual fragrance that blends floral and woody notes, evoking feelings of love and romance.",Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5,"Women,Victoria's Secret,Love,Fresh Juniper, Apricot blush, Boyfriend Tee Accord,Tulip, Angel Flower, Black Lace Accord,Cashgora wood, Creamy musk, Gilded amber,A warm and sensual fragrance that blends floral and woody notes, evoking feelings of love and romance.,Moderate,Spring & Summer,Casual (Daytime),Moderate,Expensive,4.5"
593,Women,Jennifer Lopez,Love & Glamour,"Mandarin, Guava, Nectarine","Jasmine, Orange Blossom, Water Lily","Sandalwood, Musk, Amber",A fruity and floral scent that's elegant and sophisticated. Inspired by J.Lo's passion for fashion and glamour.,Moderate,All Seasons,Casual (Daytime),Moderate,Expensive,4.3,"Women,Jennifer Lopez,Love & Glamour,Mandarin, Guava, Nectarine,Jasmine, Orange Blossom, Water Lily,Sandalwood, Musk, Amber,A fruity and floral scent that's elegant and sophisticated. Inspired by J.Lo's passion for fashion and glamour.,Moderate,All Seasons,Casual (Daytime),Moderate,Expensive,4.3"
594,Women,Ed Hardy,Love & Luck,"Bergamot, Blood Orange, Plum","Pink Pepper, Cinnamon, Nutmeg","Amber, Patchouli, Musk","A sensual and captivating fragrance with a spicy and woody blend, inspired by Ed Hardy's lucky tattoo design.",Moderate,All Seasons,Casual (All),Moderate,Affordable,3.4,"Women,Ed Hardy,Love & Luck,Bergamot, Blood Orange, Plum,Pink Pepper, Cinnamon, Nutmeg,Amber, Patchouli, Musk,A sensual and captivating fragrance with a spicy and woody blend, inspired by Ed Hardy's lucky tattoo design.,Moderate,All Seasons,Casual (All),Moderate,Affordable,3.4"
595,Women,Ed Hardy,Love Kills Slowly,"Blood Orange, Violet Leaf, Apple","Mango, Apple Blossom, Pink Jasmine","Tonka Bean, Amber, Blonde Woods","A sweet and fruity fragrance with a darker edge, inspired by Ed Hardy's famous tattoo design.",Moderate,All Seasons,Casual (Evening),Moderate,Affordable,4.2,"Women,Ed Hardy,Love Kills Slowly,Blood Orange, Violet Leaf, Apple,Mango, Apple Blossom, Pink Jasmine,Tonka Bean, Amber, Blonde Woods,A sweet and fruity fragrance with a darker edge, inspired by Ed Hardy's famous tattoo design.,Moderate,All Seasons,Casual (Evening),Moderate,Affordable,4.2"
