Gender,Brand,Fragrance,Top,Heart,Base,Description,Rating,Longevity,Seasonal Use,Occasion,Price,Projection/Sillage
Unisex,Hermes,Eau de Mandarine,"Mandarin, Mint","Jasmine, Passionfruit","Amber, Vetiver",A refreshing and energizing citrus scent perfect for summer.,4.1,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate to Strong
Unisex,Hermes,Eau de Pamplemousse Rose,"Grapefruit, Orange","Rose, Rhubard","Musk, Vetiver",A tangy and sparkling fragrance that is both refreshing and delicate.,4.1,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hermes,Epice Marine,"Salt, marine notes, spices","Geranium, tea, ginger, jasmine","Vetiver, patchouli, frankincense",A marine fragrance for men that is fresh and aromatic with a spicy twist. Perfect for summer and casual wear.,4.3,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Unisex,Hermetica,Breathe In,"Bergamot, Pink Pepper, Saffron","Orange Blossom, Osmanthus, Tuberose","Sandalwood, Musk, Vanilla","A clean and fresh unisex fragrance featuring floral and spicy notes, anchored by a warm and creamy base.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Histoires de Parfums,Tendre Friandise,"Bergamot, Lemon, Orange blossom","Jasmine, Rose, Osmanthus","Tonka bean, Vanilla, Sandalwood",A sweet and gourmand scent inspired by the French candy Calisson.,4.3,Moderate,Fall & Winter,Casual (Daytime),$$,Moderate to Heavy
Men,Histoires de Parfums,1725,"Bergamot, Citrus, Grapefruit","Jasmine, Violet, Geranium","Vanilla, White musk, Amber",A fresh and citrusy scent inspired by the French Revolution.,4.1,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate to Heavy
Men,Histoires de Parfums,1740,"Bergamot, davana, birch tar","Patchouli, cedar, lavender, vanilla","Leather, amber, vanilla, immortelle","A spicy and smoky fragrance for men that is inspired by the Marquis de Sade. The scent features notes of leather, birch tar, and immortelle, making it perfect for fall and winter, and suitable for both casual and formal occasions.",4.1,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Unisex,Histoires de Parfums,This is Not a Blue Bottle 1.4,"Aldehydes, Lime","Star Anise, Rum","Leather, Woody Notes, Amber",An avant-garde fragrance that is both fresh and spicy with a unique leather and woody base.,4.3,Long-lasting,All Seasons,Casual (Daytime),$$,Strong
Women,Houbigant Paris,Iris des Champs,"Bergamot, orange, green notes","Iris, jasmine, rose, ylang-ylang","Musk, sandalwood, amber, vanilla, tonka bean","A powdery, floral fragrance with a woody and musky base",4.3,Moderate to long-lasting,Spring & Summer,Casual (All),$$$,Moderate
Women,Hugo Boss,Boss Femme,"Tangerine, Blackcurrant Buds, Freesia","Lily, Jasmine, Rose","Apricot, Lemon, Musk, Amber",A feminine and floral scent with a fruity opening and a warm and sensual finish.,4.4,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Hugo Boss,Hugo Woman,"Melon, Green Apple","Water Hyacinth, Jasmine, Lily","Sandalwood, Cedarwood, Amber","A fresh and energetic fragrance with a fruity and floral heart, perfect for everyday wear.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Hugo Boss,Boss Nuit Pour Femme,"Peach, Aldehydes","Jasmine, Violet, White Flowers","Moss, Sandalwood","A sophisticated and elegant scent inspired by the little black dress, perfect for evening wear.",4.4,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Hugo Boss,Boss Jour Pour Femme,"Grapefruit Blossom, Lime","White Flowers, Freesia, Honeysuckle","Birch, Amber","A fresh and uplifting scent inspired by the first light of day, perfect for daytime wear.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Hugo Boss,Hugo Deep Red,"Clementine, Blood Orange, Blackcurrant","Freesia, Ginger, Hibiscus","Sandalwood, Cedarwood, Vanilla","A daring and sensual fragrance with a fruity and spicy heart, perfect for a night out.",4.4,Moderate,Fall & Winter,Formal (Evening),$$$,Moderate
Women,Hugo Boss,Boss The Scent for Her,"Peach, Freesia","Osmanthus, Orange Blossom","Cacao, Vanilla","A seductive and addictive scent with a floral and gourmand twist, perfect for a romantic evening.",4.3,Moderate,All Seasons,Formal (Evening),$$$,Moderate
Women,Hugo Boss,Boss Ma Vie Pour Femme,Cactus Blossom,Pink Floral Bouquet,"Cedarwood, Amber","A modern and empowering fragrance with a fresh and floral heart, perfect for the modern woman.",4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Hugo Boss,Hugo XX,"Lychee, Blackcurrant","Basmati Rice, Jasmine, Rose","Sandalwood, Musk, Amber","A feminine and sensual scent with a fruity and floral heart, perfect for a romantic occasion.",4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Hugo Boss,Boss Orange,"Apple, Bergamot","White Flowers, Orange Blossom, Vanilla Orchid","Sandalwood, Olive Wood, Creamy Vanilla","A warm and inviting scent with a fruity and floral heart, perfect for a casual day out.",4.4,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Hugo Boss,Hugo XX Eau de Toilette,"Mandarin, Blueberry","Jasmine, Rose, Violet","Amber, Musk, Vanilla","A fresh and floral fragrance with a fruity and woody heart, perfect for everyday wear.",4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Men,Hugo Boss,Bottled,"Apple, Citrus, Bergamot","Geranium, Cinnamon, Cloves","Sandalwood, Vetiver, Cedarwood, Vanilla",A classic fragrance with a woody and spicy character that exudes confidence and sophistication.,4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Hugo Boss,The Scent,"Ginger, Lavender, Maninka fruit","Leather, Cardamom","Vanilla, Woody Notes",A seductive and masculine fragrance that combines spicy and sweet notes for a unique and memorable scent.,4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Hugo Boss,Bottled Night,"Lavender, Birch Leaves","Cardamom, African Violet, Jasmine","Louro Amarelo, Sandalwood, Vanilla",A sophisticated and intense fragrance that is perfect for night-time wear. The combination of spicy and woody notes creates a mysterious and alluring scent.,4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Men,Hugo Boss,Hugo,"Green Apple, Grapefruit, Basil","Sage, Jasmine, Fire Balsam","Cedarwood, Patchouli, Fir Balsam",A fresh and invigorating fragrance that is perfect for everyday wear. The combination of fruity and herbal notes creates a youthful and energetic scent.,4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hugo Boss,Just Different,"Mint, Granny Smith Apple","Basil, Freesia, Coriander","Cashmeran, Patchouli",A modern and unconventional fragrance that combines fresh and spicy notes for a unique and unexpected scent.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hugo Boss,In Motion,"Basil, Violet Leaves, Bergamot","Pink Pepper, Cinnamon, Cardamom","Musk, Sandalwood, Vetiver",A dynamic and energetic fragrance that is perfect for active men. The combination of spicy and woody notes creates a fresh and invigorating scent.,4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hugo Boss,Orange,"Apple, Coriander, Cardamom","White Flowers, Vanilla, Cinnamon","Sandalwood, Olive Wood, Vetiver",A warm and inviting fragrance that is perfect for casual wear. The combination of spicy and woody notes creates a comforting and relaxed scent.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hugo Boss,Energise,"Mint, Pink Pepper, Lemon","Coriander, Juniper, Nutmeg","Jacaranda Wood, Vetiver, Suede",A vibrant and refreshing fragrance that is perfect for active and adventurous men. The combination of fresh and spicy notes creates an invigorating and stimulating scent.,4.2,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Hugo Boss,Dark Blue,"Orange, Ginger, Grapefruit","Sage, Geranium, Cardamom","Cedarwood, Patchouli, Vanilla",A bold and mysterious fragrance that is perfect for night-time wear. The combination of fruity and spicy notes creates a sensual and captivating scent.,4.2,Long-lasting,Fall & Winter,Casual (Evening),$$,Moderate
Men,Hugo Boss,Red,"Grapefruit, Pink Pepper, Galbanum","Rhubarb, Cedarwood, Pineapple","Amber, Tonka Bean, Cedarwood",A dynamic and passionate fragrance that is perfect for confident and charismatic men. The combination of spicy and fruity notes creates a bold and memorable scent.,4.1,Long-lasting,All Seasons,Casual (Evening),$$,Moderate
Men,Imaginary Authors,The Soft Lawn,"Linden blossom, ivy, oakmoss","Vetiver, tomato leaf, cool air accord","Skin musk, cedarwood","The Soft Lawn is a fresh and green fragrance that is inspired by a summer's day on the tennis court. It opens with the delicate aroma of linden blossom and is soon followed by the fresh and grassy scent of ivy and oakmoss. The heart notes of vetiver and tomato leaf give it a green and slightly fruity feel, while the base notes of skin musk and cedarwood add warmth and depth. It has a moderate longevity and sillage.",4.1,Moderate,Spring & Summer,Casual (All),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey,"Lotus, Freesia, Cyclamen","Lily, Peony, Carnation","Amber, Musk, Sandalwood","A floral aquatic fragrance, fresh and transparent with top notes of lotus, freesia, and cyclamen; heart notes of lily, peony, and carnation; and base notes of amber, musk, and sandalwood.",4.6,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey Pure,"Marine Accord, Orange Blossom","Damask Rose, Jasmine, Lily, Lily of the Valley","Cashmere Wood, Ambergris","A floral aquatic fragrance for women, fresh and uplifting with top notes of marine accord and orange blossom, heart notes of damask rose, jasmine, lily, and lily of the valley, and base notes of cashmere wood and ambergris.",4.5,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey Florale,"Mandarin Orange, Rose, Lily-of-the-Valley","Orange Blossom, Jasmin, Lily, Syringa, Peony","White Wood, Musk, Ambrox","A floral fragrance for women with a romantic and elegant aroma, opening with top notes of mandarin orange, rose, and lily-of-the-valley, heart notes of orange blossom, jasmine, lily, syringa, and peony, and base notes of white wood, musk, and ambrox.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey Absolue,"Lotus, Freesia, Rose","Osmanthus, Lily, Jasmine","Patchouli, Ambrox, Amber","A floral fragrance for women, rich and sensual with top notes of lotus, freesia, and rose, heart notes of osmanthus, lily, and jasmine, and base notes of patchouli, ambrox, and amber.",4.5,Moderate,All Seasons,All,$$,Moderate
Women,Issey Miyake,A Scent by Issey Miyake,"Verbena, Hyacinth","Jasmine, Galbanum","Cedar, Vetiver","A green floral fragrance for women, fresh and invigorating with top notes of verbena and hyacinth, heart notes of jasmine and galbanum, and base notes of cedar and vetiver.",4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Issey Miyake,Pleats Please,"Nashi, Pear","Peony, Sweet Pea, Indole","White Musk, Vanilla, Cedar","A floral fragrance for women with a playful and vibrant scent, opening with top notes of nashi and pear, heart notes of peony, sweet pea, and indole, and base notes of white musk, vanilla, and cedar.",4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey Pour Homme,"Yuzu, Bergamot, Lemon","Cinnamon, Nutmeg, Saffron, Water Lily","Tobacco, Amber, Sandalwood, Vetiver, Musk","A citrusy fragrance for men, fresh and masculine with top notes of yuzu, bergamot, and lemon, heart notes of cinnamon, nutmeg, saffron, and water lily, and base notes of tobacco, amber, sandalwood, vetiver, and musk.",4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Issey Miyake,L'Eau d'Issey Noir Absolu,"Saffron, nutmeg","Rose, leather, labdanum","Vanilla, tonka bean, ebony tree","L'Eau d'Issey Noir Absolu is a spicy and woody fragrance that opens with warm notes of saffron and nutmeg. The heart notes of rose, leather, and labdanum add a soft and floral aspect, while the base notes of vanilla, tonka bean, and ebony tree give the fragrance a dark and mysterious finish.",4.5,Moderate,All Seasons,All,$$,Moderate
Men,Issey Miyake,L'Eau d'Issey Pour Homme,"Yuzu, Cypress, Coriander, Mandarin, Blue Water Lily, Lemon","Geranium, Nutmeg, Saffron, Bourbon, Cinnamon, Lily-of-the-Valley","Tobacco, Vetiver, Sandalwood, Musk, Amber","A fresh, spicy and woody fragrance for men with a classic and timeless scent.",4.6,Moderate,All Seasons,Casual (All),$$,Moderate
Men,Issey Miyake,L'Eau d'Issey Pour Homme Intense,"Bergamot, Yuzu, Sweet Orange, Mandarin Orange","Cardamom, Nutmeg, Camphor, Cinnamon, Saffron","Amber, Musk, Sandalwood, Cedar, Papyrus","A rich, woody and spicy fragrance for men, intense and seductive with a long-lasting scent.",4.4,Long-lasting,All Seasons,All,$$$,Strong
Men,Issey Miyake,Nuit d'Issey Pour Homme,"Bergamot, Grapefruit, Leather, Spices","Black Pepper, Vetiver, Woods, Frankincense","Tonka Bean, Patchouli, Ebony, Incense","A mysterious and sensual fragrance for men, with a dark and sophisticated scent perfect for the night.",4.4,Moderate,Fall & Winter,All,$$$,Strong
Men,Issey Miyake,L'Eau Bleue d'Issey Pour Homme,"Rosemary, Lime, Mandarin Orange, Orange, Lemon, Bergamot","May Rose, Cypress, Ginger, Pink Pepper, Jasmine","Patchouli, Cedar, Sandalwood, Musk","A fresh and aquatic fragrance for men, with a modern and vibrant scent that captures the essence of the ocean.",4.4,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Issey Miyake,L'Eau d'Issey Pour Homme Sport,"Grapefruit, Bergamot, Nutmeg, Leather, Vetiver","Virginia Cedar, Amber, Water Lily","Musk, Sandalwood","A fresh and energetic fragrance for men, perfect for sport and outdoor activities with a dynamic and invigorating scent.",4.3,Moderate,Spring & Summer,Casual (All),$$,Moderate
Men,Issey Miyake,L'Eau d'Issey Pour Homme Wood & Wood,"Grapefruit, Cardamom, Elemi, Ambroxan","Virginia Cedar, Sandalwood, Vetiver","Patchouli, Ebony, Muscenone","A woody and aromatic fragrance for men, with a unique and elegant scent that combines natural and refined ingredients.",4.3,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Men,Issey Miyake,L'Eau Super Majeure d'Issey,"Bergamot, Clary Sage, Rosemary, Cardamom","Sea Notes, Salt","Patchouli, Leather, Amber","A fresh and salty fragrance for men, with a marine and mineral scent that evokes the power of the ocean.",4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Men,Issey Miyake,L'Eau d'Issey Pour Homme Noir Ambre,"Saffron, Nutmeg, Cinnamon, Coriander","Amber, Vanilla, Rum","Leather, Liquorice, Sandalwood","A warm and spicy fragrance for men, with a sensual and addictive scent that blends oriental and woody notes.",4.2,Long-lasting,Fall & Winter,Formal (Evening),$$$,Moderate
Men,Issey Miyake,L'Eau d'Issey Pour Homme Fraiche,"Grapefruit, Bergamot, Rosemary, Mint, Cardamom","May Rose, Pink Pepper, White Patchouli, Nutmeg","White Musk, Vetiver, Cedar, Frankincense","L'Eau d'Issey Pour Homme Fraiche is a fresh and aromatic fragrance that opens with bright notes of grapefruit and bergamot. The heart notes of rosemary, mint, and cardamom add a spicy and herbal aspect, while the base notes of musk, patchouli, and vetiver give the fragrance a warm and masculine finish.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Men,Jacques Zolty,Fumabat,"Saffron, Cumin, Frankincense","Oud, Cedarwood, Leather, Sandalwood","Amber, Musk, Vanilla, Patchouli","A rich, oriental fragrance with a smoky and woody aroma. It has a sensual and warm character, suitable for evening wear.",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Unisex,Jacques Zolty,Rosso Epicureo,"Bergamot, Lavender","Cinnamon, Nutmeg","Patchouli, Cedarwood, Amber",A spicy and warm fragrance with a strong cinnamon note and a woody and musky base.,3.8,Long-lasting,Fall & Winter,Formal (Evening),$$$,Strong
Unisex,Jardin de France,Verveine Absolue,"Verbena, Bergamot, Lemon","Neroli, Jasmine, Orange Blossom","Cedar, White Musk, Amber","A fresh and citrusy fragrance with a blend of verbena, bergamot and lemon, and a warm base of cedar, white musk and amber.",4.1,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jean Patou,Eau de Patou,"Lemon, bergamot, coriander","Jasmine, rose, ylang-ylang","Patchouli, oakmoss, musk",A classic and timeless fragrance that exudes refinement and elegance,4.4,Long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Men,Jean Paul Gaultier,Le Male,"Mint, Lavender, Bergamot, Cardamom, Artemisia","Cinnamon, Caraway, Orange Blossom","Vanilla, Tonka Bean, Sandalwood","A fresh, spicy fragrance with a hint of sweetness",4.7,Moderate to long-lasting,Fall & Winter,Formal (Evening),$$,Heavy
Women,Jennifer Lopez,Glow,"Neroli, Pink Grapefruit, Rose","Sandalwood, Amber, Vanilla","Musk, Jasmine, Orris",A floral and musky scent that's fresh and clean. Inspired by J.Lo's radiance and confidence.,4.6,Short,Spring & Summer,Casual (Daytime),$,Moderate
Women,Jennifer Lopez,Still,"Earl Grey Tea, Mandarin, Pepper","Lily-of-the-Valley, Freesia, Rose","Sandalwood, Amber, Musk",A floral and feminine scent that's soft and delicate. Inspired by J.Lo's inner strength and spirit.,4.5,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Jennifer Lopez,Miami Glow,"Passion Fruit, Coconut Milk, Pink Grapefruit","Cyclamen, Orange Blossom, Heliotrope","Amber, Musk, Vanilla",A tropical and fruity scent that's warm and sensual. Inspired by the energy and excitement of Miami.,4.4,Moderate,Spring & Summer,Casual (Daytime),$,Moderate
Women,Jennifer Lopez,Love & Glamour,"Mandarin, Guava, Nectarine","Jasmine, Orange Blossom, Water Lily","Sandalwood, Musk, Amber",A fruity and floral scent that's elegant and sophisticated. Inspired by J.Lo's passion for fashion and glamour.,4.3,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Jennifer Lopez,Live Luxe,"Pear, Peach, Melon","Freesia, Honeysuckle, Lily-of-the-Valley","Amber, Musk, Vanilla",A fruity and floral scent that's playful and flirty. Inspired by J.Lo's love of dance and music.,4.2,Long-lasting,All Seasons,Casual (Daytime),$$,Strong
Women,Jennifer Lopez,Deseo,"Bamboo Leaves, Yuzu, Bergamot","Star Fruit, Jasmine, Orange Blossom","Vanilla, Sandalwood, Amber",A fresh and exotic scent that's serene and calming. Inspired by J.Lo's travels and adventures.,4.1,Moderate,All Seasons,Casual (Daytime),$$,Moderate
Women,Jennifer Lopez,Blue Glow,"Mangosteen, Orange, Italian Bergamot","Water Lily, Rose, Vanilla Orchid","Orris, Tolu Balsam, Musk",A fruity and floral scent that's refreshing and invigorating. Inspired by the ocean and the sky.,4.0,Moderate,Spring & Summer,Casual (Daytime),$,Moderate
Women,Jennifer Lopez,Rio Glow,"Redcurrant, Brazilian Cherry, Passion Fruit","Jasmine, Violet, Sharry Baby Orchid","Musk, Vanilla, Sandalwood",A tropical and fruity scent that's vibrant and lively. Inspired by the colors and rhythms of Rio de Janeiro.,3.9,Moderate,Spring & Summer,Casual (Daytime),$,Moderate
Women,Jennifer Lopez,JLove,"Raspberry, Pineapple, Tangerine","Pink Grapefruit, Orchid, Water Lily","Vanilla, White Wood, Musk",A sweet and fruity scent that's romantic and sensual. Inspired by J.Lo's personal style and taste.,3.8,Moderate,All Seasons,Casual (Daytime),$$$,Moderate
Women,Jennifer Lopez,Wild Glow,"Mandarin, Blackcurrant, Tropical Fruits","Star Jasmine, Sambac Jasmine, Lily-of-the-Valley","Sandalwood, Vanilla, Vetiver",A fruity and floral scent that's bold and daring. Inspired by J.Lo's wild and adventurous spirit.,3.7,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Jimmy Choo,Eau de Parfum,"Mandarin Orange, Pear, Green Notes",Orchid,"Patchouli, Toffee","A modern fruity chypre fragrance with warm, rich, and woody depths that exudes confidence and femininity",4.6,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Jimmy Choo,Blossom,"Citrus Fruits, Red Berries",Sweet Pea,"White Musk, Sandalwood","A floral-fruity fragrance that captures the bold and playful spirit of a confident, glamorous woman",4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Jimmy Choo,L'Eau,"Bergamot, Hibiscus",Nectarine,"Cedar, Musks","A fresh, radiant, and delicate fragrance that is both sparkling and luminous",4.5,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Jimmy Choo,Illicit,"Ginger, Bitter Orange",Rose,"Honey, Amber","A modern floral-oriental fragrance that embodies a daring, flirtatious spirit with a hint of rebellion",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Jimmy Choo,Fever,"Black Plum, Heliotrope",Vanilla Orchid,"Roasted Tonka Bean, Benzoin","A sensual and addictive fragrance that ignites the senses with its warm, seductive notes",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Jimmy Choo,Flash,"Strawberry, Pink Pepper",Tuberose,"White Wood, Heliotrope","A modern floral fragrance that is both daring and playful, with a touch of glamour and sparkle",4.3,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Jimmy Choo,Eau de Toilette,"Ginger, Pear",Tea Rose,Cedarwood,"A refreshing and radiant fragrance that captures the essence of a modern, confident woman",4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Jimmy Choo,Urban Hero,"Lemon Caviar, Black Pepper",Vetiver,"Grey Amber, Leather","A masculine fragrance that blends urban and natural elements, capturing the spirit of a man who is confident, authentic, and effortless",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Jimmy Choo,Man,"Lavender, Honeydew Melon",Pineapple Leaf,"Patchouli, Suede","A fresh and woody fragrance that embodies the modern, confident man with a rebellious spirit",4.5,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Women,Jimmy Choo,Man Blue,"Clary Sage, Black Pepper",Leather,"Vanilla, Sandalwood","A woody aromatic fragrance that combines freshness and sensuality, perfect for the urban, modern man",4.4,Long-lasting,Fall & Winter,Formal (Evening),$$$,Heavy
Unisex,Jo Loves,Osmanthus Blossom,"Osmanthus, Orange Blossom, Neroli","Petitgrain, Peach, Rose","Cedar, Vetiver, Musks","A floral fragrance with a blend of osmanthus, orange blossom and neroli, and a warm base of cedar, vetiver and musks.",4.2,Moderate,Spring & Summer,Casual (All),$$,Moderate
Women,Jo Malone,Lime Basil & Mandarin,"Lime, Mandarin, Bergamot","Basil, Lilac, Thyme","Patchouli, Vetiver",Fresh and citrusy scent with a hint of earthy notes.,4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,English Pear & Freesia,"King William Pear, Freesia","Patchouli, Amber, Woods",Rhubarb,A fruity and floral fragrance with a hint of musky undertones.,4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Peony & Blush Suede,"Red Apple, Peony, Jasmine","Rose, Gillyflower, Hedione","Suede, Patchouli, Musk","A floral scent with a hint of fresh apple and a warm, sensual finish.",4.5,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Wood Sage & Sea Salt,"Ambrette Seeds, Sea Salt","Sage, Sea Air, Red Algae","Grapefruit, Birch","A fresh, woody fragrance with a hint of sea salt and citrus notes.",4.4,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Blackberry & Bay,"Blackberry, Grapefruit, Bay Leaves","Cedarwood, Lily of the Valley, Vetiver","Amber, Musk","A sweet and spicy fragrance with a fruity, musky finish.",4.4,Moderate,Fall & Winter,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Nectarine Blossom & Honey,"Nectarine, Peach, Cassis","Acacia Honey, Orris, Jasmine","Vetiver, Musk, Cedarwood",A fruity floral scent with a sweet and warm honey finish.,4.4,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Wild Bluebell,"Bluebell, Persimmon, Citrus","Jasmine, Lily of the Valley, Rosehip","White Musk, Amber, Cedarwood","A floral fragrance with a fresh, dewy scent and a hint of musky undertones.",4.3,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Mimosa & Cardamom,"Cardamom, Mimosa, Tonka Bean","Damask Rose, Heliotrope, Sandalwood","Vanilla, Musk, Woody Notes","A spicy and floral scent with a warm, woody finish.",4.2,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Women,Jo Malone,Pomegranate Noir,"Pomegranate, Raspberry, Plum","Pink Pepper, Casablanca Lily, Spicy Woods","Guaiacwood, Patchouli, Amber",A fruity and spicy fragrance with a hint of woody notes.,4.2,Moderate,Fall & Winter,All,$$$,Moderate
Women,Jo Malone,Orange Blossom,"Orange Blossom, Mandarin, Clementine Leaves","Water Lily, Orange Blossom, Lilac","Orriswood, Balsamic, Musk",A floral and citrusy scent with a hint of warm musky undertones.,4.1,Moderate,Spring & Summer,Casual (Daytime),$$$,Moderate
Unisex,Jo Malone,Wood Sage & Sea Salt,"Ambrette Seeds, Sea Salt, Sage","Grapefruit, Red Algae, Juniper Berries","Musk, Birch, Amber",A fresh and salty fragrance with a woody and earthy touch. It is inspired by the English coast and the scent of driftwood.,4.2,Moderate to long-lasting,Spring & Fall,Casual (All),$$,Moderate projection
Unisex,Jo Malone,Lime Basil & Mandarin,"Lime, Mandarin, Bergamot","Basil, Thyme, Iris","Vetiver, Patchouli, Amber",A fresh and zesty fragrance with a herbal and aromatic twist,4.5,Moderate to long-lasting,Spring & Summer,Casual (All),$$$,Moderate projection
Women,Jo Malone,Honeysuckle & Davana,"Davana, Honeysuckle","Moss, Rose",Musk,A sweet and floral fragrance with a musky base. Suitable for daytime wear in spring and summer.,4.5,Moderate to long-lasting,Spring & Summer,Casual (Daytime),$$,Moderate
Unisex,Jo Malone,Blackberry & Bay,"Blackberry, grapefruit, bay leaf","Lily-of-the-valley, rose, jasmine","Cedar, vetiver, musk",A fruity and floral fragrance inspired by the English countryside,4.4,Moderate,Spring & Summer,Casual (Daytime),$$,Moderate
Women,Juicy Couture,Viva la Juicy,"Mandarin, Wild berries","Jasmine, Honeysuckle, Gardenia","Amber, Caramel, Vanilla, Sandalwood, Pralines","A sweet and playful fragrance with fruity and floral notes, perfect for a day out with friends.",4.6,Long-lasting,All Seasons,Casual (Daytime),$$,Strong
Women,Juicy Couture,I Am Juicy Couture,"Raspberry, Pineapple, Passion fruit","Gardenia, Rose, Heliotrope, Sweet pea","Musk, Amber, Woods","A bold and vibrant fragrance with a fruity and floral blend, perfect for a night out on the town.",4.3,Long-lasting,All Seasons,Casual (Daytime),$$$,Strong
Women,Juicy Couture,Juicy Couture,"Watermelon, Passion fruit, Marigold","Rose, Princess lily, Tuberose","Vanilla, Patchouli, Woods","A sweet and feminine fragrance with fruity and floral notes, perfect for a casual day out.",4.2,Long-lasting,All Seasons,Casual (Daytime),$$,Moderate
Women,Juicy Couture,Couture La La,"Mandarin, Red currant, Green apple","Lily of the valley, Orange blossom, Violet leaves","Musk, Woods, Vanilla","A playful and energetic fragrance with fruity and floral notes, perfect for a summer day.",4.1,Long-lasting,All Seasons,Casual (Daytime),$$,Moderate
Women,Juicy Couture,Viva la Juicy Noir,"Mandarin, Berries, Mara strawberry","Jasmine, Gardenia, Honeysuckle","Amber, Caramel, Vanilla, Sandalwood, Vanilla","A sophisticated and sensual fragrance with fruity and floral notes, perfect for a night out.",4.4,Moderate,All Seasons,Formal (Evening),$$$,Moderate
Women,Juicy Couture,Peace Love & Juicy Couture,"Meyer lemon, Wild hyacinth, Sweet apple","Jasmine, Star magnolia, Malibu poppy","Musk, Patchouli, Amber","A fresh and floral fragrance with a hint of earthiness, perfect for a day at the beach.",4.3,Long-lasting,All Seasons,Casual (Daytime),$$$,Moderate
